,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,3.0,10508693,HZ250496,05/03/2016 11:40:00 PM,013XX S SAWYER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,1,1022,10,24,29,08B,1154907,1893681,2016,05/10/2016 03:56:50 PM,41.864073157,-87.706818608,"(41.864073157, -87.706818608)"
2,197.0,10508697,HZ250503,05/03/2016 11:31:00 PM,053XX W CHICAGO AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,0,0,1524,15,37,25,24,1140789,1904819,2016,05/10/2016 03:56:50 PM,41.894908283,-87.758371958,"(41.894908283, -87.758371958)"
3,673.0,10508698,HZ250424,05/03/2016 10:10:00 PM,049XX W FULTON ST,460,BATTERY,SIMPLE,SIDEWALK,0,0,1532,15,28,25,08B,1143223,1901475,2016,05/10/2016 03:56:50 PM,41.885686845,-87.749515983,"(41.885686845, -87.749515983)"
4,911.0,10508699,HZ250455,05/03/2016 10:00:00 PM,003XX N LOTUS AVE,820,THEFT,$500 AND UNDER,RESIDENCE,0,1,1523,15,28,25,6,1139890,1901675,2016,05/10/2016 03:56:50 PM,41.886297242,-87.761750709,"(41.886297242, -87.761750709)"
5,1108.0,10508702,HZ250447,05/03/2016 10:35:00 PM,082XX S MARYLAND AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,0,0,631,6,8,44,04B,1183336,1850642,2016,05/10/2016 03:56:50 PM,41.745354023,-87.603798903,"(41.745354023, -87.603798903)"
6,1130.0,10508703,HZ250489,05/03/2016 10:30:00 PM,027XX S STATE ST,460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,0,0,133,1,3,35,08B,1176730,1886544,2016,05/10/2016 03:56:50 PM,41.844023772,-87.626923253,"(41.844023772, -87.626923253)"
7,1801.0,10508704,HZ250514,05/03/2016 09:30:00 PM,002XX E 46TH ST,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,0,0,215,2,3,38,08B,1178514,1874573,2016,05/10/2016 03:56:50 PM,41.811133958,-87.62074077,"(41.811133958, -87.62074077)"
8,1868.0,10508709,HZ250523,05/03/2016 04:00:00 PM,014XX W DEVON AVE,460,BATTERY,SIMPLE,SIDEWALK,0,0,2432,24,40,1,08B,1165696,1942616,2016,05/10/2016 03:56:50 PM,41.99813061,-87.665814038,"(41.99813061, -87.665814038)"
9,1891.0,10508982,HZ250667,05/03/2016 10:30:00 PM,069XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,735,7,17,67,08B,1166876,1858796,2016,05/10/2016 03:56:50 PM,41.768096835,-87.663878589,"(41.768096835, -87.663878589)"
10,1935.0,10508710,HZ250469,05/03/2016 09:44:00 PM,074XX S SOUTH SHORE DR,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,1,0,334,3,7,43,15,1195696,1856719,2016,05/10/2016 03:56:50 PM,41.761733286,-87.558309979,"(41.761733286, -87.558309979)"
11,2150.0,10508715,HZ250541,05/03/2016 11:11:00 PM,006XX N WABASH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1,1,1834,18,42,8,08B,1176630,1904401,2016,05/10/2016 03:56:50 PM,41.893026751,-87.626750829,"(41.893026751, -87.626750829)"
12,2193.0,10508717,HZ250415,05/03/2016 05:30:00 PM,011XX W JACKSON BLVD,890,THEFT,FROM BUILDING,OTHER,0,0,1232,12,2,28,6,1168776,1898793,2016,05/10/2016 03:56:50 PM,41.877811861,-87.655758012,"(41.877811861, -87.655758012)"
13,2279.0,10508724,HZ250513,05/03/2016 09:00:00 AM,028XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,STREET,0,0,133,1,4,35,6,1179375,1886199,2016,05/10/2016 03:56:50 PM,41.843016958,-87.61722727,"(41.843016958, -87.61722727)"
14,2477.0,10508728,HZ250505,05/03/2016 10:08:00 PM,016XX N CLAREMONT AVE,810,THEFT,OVER $500,STREET,0,0,1434,14,1,24,6,1160444,1910787,2016,05/10/2016 03:56:50 PM,41.910900826,-87.686018747,"(41.910900826, -87.686018747)"
15,2847.0,10508732,HZ250535,05/03/2016 04:00:00 PM,072XX S RICHMOND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,831,8,18,66,08B,1157957,1856539,2016,05/10/2016 03:56:50 PM,41.762089133,-87.696632337,"(41.762089133, -87.696632337)"
16,3023.0,10508738,HZ250440,05/03/2016 09:45:00 PM,020XX W LE MOYNE ST,810,THEFT,OVER $500,STREET,0,0,1424,14,1,24,6,1162515,1909832,2016,05/10/2016 03:56:50 PM,41.908237096,-87.678437417,"(41.908237096, -87.678437417)"
17,3088.0,10508741,HZ250587,05/03/2016 10:00:00 PM,055XX S STATE ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,0,0,225,2,3,40,3,1177219,1868295,2016,05/10/2016 03:56:50 PM,41.793935909,-87.625680278,"(41.793935909, -87.625680278)"
18,3242.0,10508747,HZ250577,05/03/2016 08:00:00 PM,100XX S SANGAMON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,2232,22,34,73,7,1171751,1838335,2016,05/10/2016 03:56:50 PM,41.711843569,-87.646607932,"(41.711843569, -87.646607932)"
19,3264.0,10508752,HZ250500,05/03/2016 11:00:00 PM,043XX S ELLIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,222,2,4,39,08B,1183654,1876344,2016,05/10/2016 03:56:50 PM,41.815875211,-87.601832565,"(41.815875211, -87.601832565)"
20,3307.0,10508755,HZ250531,05/03/2016 11:37:00 PM,015XX N DAMEN AVE,560,ASSAULT,SIMPLE,SIDEWALK,0,0,1424,14,1,24,08A,1162780,1910519,2016,05/10/2016 03:56:50 PM,41.910116718,-87.677444645,"(41.910116718, -87.677444645)"
21,3416.0,10508757,HZ250601,05/03/2016 01:30:00 PM,057XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,OTHER,0,0,235,2,5,41,08A,1182557,1867162,2016,05/10/2016 03:56:50 PM,41.790704614,-87.606141486,"(41.790704614, -87.606141486)"
22,4333.0,10508987,HZ250698,05/03/2016 06:30:00 PM,025XX N GREENVIEW AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,0,0,1932,19,32,7,6,1165898,1916813,2016,05/10/2016 03:56:50 PM,41.927321839,-87.665810418,"(41.927321839, -87.665810418)"
23,4377.0,10509011,HZ250748,05/03/2016 09:00:00 PM,068XX W HIGHLAND AVE,820,THEFT,$500 AND UNDER,STREET,0,0,1611,16,41,10,6,1129898,1941574,2016,05/10/2016 03:56:50 PM,41.995961517,-87.797528563,"(41.995961517, -87.797528563)"
24,4571.0,10509016,HZ250610,05/03/2016 11:30:00 PM,003XX W HUBBARD ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,0,0,1831,18,42,8,26,1173680,1903250,2016,05/10/2016 03:56:50 PM,41.889934493,-87.637619229,"(41.889934493, -87.637619229)"
25,4701.0,10509030,HZ250659,05/03/2016 07:00:00 AM,010XX W 95TH ST,820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,0,0,2223,22,21,73,6,1170857,1841803,2016,05/10/2016 03:56:50 PM,41.721379795,-87.649781161,"(41.721379795, -87.649781161)"
26,5138.0,10509071,HZ250713,05/03/2016 08:30:00 PM,012XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),0,0,1932,19,32,7,6,1167657,1916082,2016,05/10/2016 03:56:50 PM,41.925278177,-87.65936796,"(41.925278177, -87.65936796)"
27,5225.0,10509077,HZ250776,05/03/2016 12:01:00 AM,002XX W 33RD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,0,0,915,9,11,34,11,1175297,1883093,2016,05/10/2016 03:56:50 PM,41.834586177,-87.632285413,"(41.834586177, -87.632285413)"
28,5423.0,10509078,HZ250611,05/03/2016 12:01:00 AM,043XX S SAWYER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,0,0,821,8,14,58,11,1155409,1875700,2016,05/10/2016 03:56:50 PM,41.814721065,-87.7054583,"(41.814721065, -87.7054583)"
29,5770.0,10509094,HZ250662,05/03/2016 11:00:00 PM,084XX S MORGAN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,613,6,21,71,7,1171118,1848917,2016,05/10/2016 03:56:50 PM,41.740895923,-87.648617881,"(41.740895923, -87.648617881)"
30,6399.0,10509096,HZ250700,05/03/2016 04:45:00 PM,003XX W MONROE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,122,1,2,32,7,1174166,1899864,2016,05/10/2016 03:56:50 PM,41.88063228,-87.635935494,"(41.88063228, -87.635935494)"
